Time,HR
126.000000,73.932682
127.000000,75.412831
128.000000,74.768180
129.000000,75.424421
130.000000,75.784016
131.000000,75.241685
132.000000,75.807062
133.000000,75.818108
134.000000,76.399426
135.000000,76.121764
136.000000,76.403070
137.000000,75.240894
138.000000,76.068270
139.000000,76.131638
140.000000,75.516167
141.000000,73.301905
142.000000,75.569189
143.000000,73.582434
144.000000,74.344993
145.000000,73.661220
146.000000,72.923385
147.000000,73.374383
148.000000,72.660902
149.000000,72.120659
150.000000,72.274045
151.000000,72.024790
152.000000,71.518055
153.000000,71.226479
154.000000,70.143644
155.000000,70.338433
156.000000,70.834801
157.000000,69.382893
158.000000,67.791552
159.000000,69.193679
160.000000,68.152338
161.000000,68.946278
162.000000,68.917746
163.000000,68.059874
164.000000,68.916439
165.000000,68.031730
166.000000,68.453321
167.000000,68.005997
168.000000,67.281418
169.000000,68.826743
170.000000,69.106405
171.000000,68.821625
172.000000,69.590330
173.000000,68.994128
174.000000,69.324282
175.000000,70.146487
176.000000,70.767011
177.000000,70.795547
178.000000,71.150442
179.000000,71.193387
180.000000,72.552199
181.000000,71.735128
182.000000,72.796459
183.000000,72.911309
184.000000,73.803212
185.000000,73.243901
186.000000,74.403375
187.000000,74.646737
188.000000,75.339420
189.000000,75.756431
190.000000,75.777819
191.000000,75.831042
192.000000,75.949848
193.000000,75.011806
194.000000,76.116923
195.000000,75.394045
196.000000,75.953870
197.000000,76.360999
198.000000,74.949775
199.000000,76.705177
200.000000,75.559072
201.000000,75.023663
202.000000,74.148801
203.000000,75.399668
204.000000,74.253344
205.000000,74.316601
206.000000,74.043585
207.000000,73.159386
208.000000,73.088455
209.000000,71.141687
210.000000,71.880064
211.000000,71.561112
212.000000,71.119362
213.000000,70.900091
214.000000,70.402128
215.000000,71.399785
216.000000,69.256546
217.000000,70.300163
218.000000,68.916609
219.000000,68.799387
220.000000,68.030868
221.000000,68.466052
222.000000,69.093952
223.000000,67.969987
224.000000,68.602023
225.000000,68.141382
226.000000,68.176779
227.000000,68.787985
228.000000,67.887020
229.000000,68.222133
230.000000,69.118657
231.000000,68.938134
232.000000,68.516654
233.000000,68.309483
234.000000,69.819164
235.000000,70.097937
236.000000,69.297698
237.000000,70.945696
238.000000,71.491483
239.000000,71.466104
240.000000,71.774511
241.000000,72.786786
242.000000,72.552390
243.000000,72.519703
244.000000,73.074189
245.000000,74.239930
246.000000,74.917225
247.000000,75.441559
248.000000,74.952783
249.000000,74.388264
250.000000,74.767180
251.000000,76.514738
252.000000,75.469496
253.000000,76.473842
254.000000,75.237925
255.000000,75.645605
256.000000,76.172658
257.000000,76.203978
258.000000,76.288921
259.000000,75.425297
260.000000,75.598005
261.000000,73.436193
262.000000,75.829075
263.000000,74.252078
264.000000,74.484874
265.000000,74.888003
266.000000,73.550134
267.000000,73.223478
268.000000,72.684493
269.000000,72.348751
270.000000,72.068170
271.000000,71.653571
272.000000,70.569456
273.000000,70.108316
274.000000,70.863463
275.000000,70.233108
276.000000,69.557985
277.000000,70.373701
278.000000,69.123902
279.000000,69.479958
280.000000,69.241070
281.000000,68.487753
282.000000,68.061023
283.000000,68.449782
284.000000,68.082545
285.000000,68.013111
286.000000,68.131736
287.000000,69.066441
288.000000,68.313323
289.000000,68.654089
290.000000,69.497802
291.000000,69.812782
292.000000,68.333831
293.000000,69.270751
294.000000,69.961066
295.000000,70.328131
296.000000,70.983894
297.000000,70.068003
298.000000,72.040600
299.000000,71.971824
300.000000,71.430803
301.000000,72.777715
302.000000,73.395820
303.000000,73.864138
304.000000,74.019668
305.000000,74.020408
306.000000,74.370578
307.000000,74.285347
308.000000,75.212215
309.000000,74.898633
310.000000,75.624698
311.000000,75.378190
312.000000,76.192306
313.000000,76.423103
314.000000,75.594106
315.000000,76.602374
316.000000,76.230576
317.000000,75.898190
318.000000,75.845990
319.000000,75.617051
320.000000,74.360787
321.000000,75.784978
322.000000,75.091751
323.000000,74.610626
324.000000,75.078939
325.000000,73.896815
326.000000,73.153977
327.000000,72.856418
328.000000,72.359742
329.000000,73.163173
330.000000,72.672436
331.000000,71.488391
332.000000,70.951544
333.000000,70.571591
334.000000,71.198633
335.000000,69.668041
336.000000,69.269349
337.000000,69.400282
338.000000,68.220142
339.000000,67.743034
340.000000,68.553552
341.000000,67.911573
342.000000,68.077221
343.000000,68.430135
344.000000,68.052985
345.000000,68.307582
346.000000,68.157165
347.000000,67.283939
348.000000,66.874863
349.000000,68.967262
350.000000,69.032277
351.000000,68.492475
352.000000,69.195562
353.000000,69.072324
354.000000,69.647751
355.000000,69.976072
356.000000,70.182986
357.000000,71.168935
358.000000,71.632722
359.000000,72.007315
360.000000,71.473516
361.000000,71.980444
362.000000,72.791824
363.000000,73.843938
364.000000,74.341958
365.000000,74.438008
366.000000,73.562524
367.000000,75.333862
368.000000,74.863369
369.000000,75.382323
370.000000,74.991315
371.000000,75.501790
372.000000,76.091447
373.000000,76.375370
374.000000,75.388481
375.000000,76.277200
376.000000,75.779658
377.000000,76.525543
378.000000,76.194391
379.000000,76.056503
380.000000,74.806372
381.000000,75.486415
382.000000,74.329165
383.000000,75.016490
384.000000,75.056658
385.000000,73.994723
386.000000,74.174665
387.000000,72.810332
388.000000,72.540371
389.000000,72.691535
390.000000,72.031451
391.000000,72.665525
392.000000,71.136479
393.000000,70.178313
394.000000,70.815199
395.000000,70.100839
396.000000,69.984866
397.000000,69.530793
398.000000,69.209038
399.000000,68.428795
400.000000,68.159743
401.000000,68.263117
402.000000,68.392284
403.000000,68.407499
404.000000,68.805599
405.000000,68.387475
406.000000,67.604742
407.000000,68.422959
408.000000,68.086713
409.000000,69.163048
410.000000,68.550427
411.000000,69.055771
412.000000,69.522803
413.000000,69.568862
414.000000,69.386275
415.000000,70.697268
416.000000,69.927790
417.000000,70.740958
418.000000,71.410794
419.000000,71.883072
420.000000,70.883350
421.000000,72.848958
422.000000,73.252228
423.000000,72.702622
424.000000,73.646986
425.000000,74.580837
426.000000,75.879223
427.000000,74.713255
428.000000,75.969657
429.000000,74.858770
430.000000,74.675956
431.000000,77.001570
432.000000,75.503897
433.000000,75.825191
434.000000,76.116585
435.000000,75.479650
436.000000,76.082437
437.000000,76.474300
438.000000,75.258506
439.000000,75.805772
440.000000,75.161328
441.000000,75.592063
442.000000,74.895791
443.000000,74.470871
444.000000,75.111776
445.000000,73.983415
446.000000,73.113448
447.000000,72.452221
448.000000,73.666561
449.000000,72.004354
450.000000,71.741660
451.000000,71.704273
452.000000,71.147553
453.000000,70.663586
454.000000,71.012476
455.000000,70.218494
456.000000,69.672368
457.000000,70.262934
458.000000,70.368578
459.000000,68.114723
460.000000,68.464175
461.000000,68.451927
462.000000,68.100220
463.000000,68.038434
464.000000,68.045436
465.000000,68.544119
466.000000,68.403732
467.000000,68.114929
468.000000,67.510886
469.000000,68.698575
470.000000,68.996801
471.000000,69.376351
472.000000,68.751298
473.000000,68.833503
474.000000,69.676369
475.000000,69.733109
476.000000,70.275817
477.000000,71.297700
478.000000,71.804458
479.000000,71.404312
480.000000,72.092630
